"rowid","date","stkpt","operation","workcentre","rm","rmissqty","pnum","rcno","prcno","partissued","qtyrejected","partreceived","inv","heat","lot","coil","rsn","username","ip","created"
"625290","2022-11-10","FG For Invoicing",,,,"0.0000","29194058","U12223-12766","DC-U1D22-2306019","0","0","1220",,,,,,"Saravanan&bala","192.168.1.236","2022-11-10 16:43:22"
"625291","2022-11-10","FG For Invoicing",,,,"0.0000","29194058","U12223-12766","DC-U1D22-2306019","1220","0","0",,,,,,"Saravanan&bala","192.168.1.236","2022-11-10 16:43:22"
"638307","2022-12-07","FG For Invoicing",,,,"0.0000","29194058","U12223-14219","DC-U1D22-2306061","0","0","1296",,,,,,"Saravanan&bala","192.168.1.236","2022-12-07 16:26:08"
"638308","2022-12-07","FG For Invoicing",,,,"0.0000","29194058","U12223-14219","DC-U1D22-2306061","1296","0","0",,,,,,"Saravanan&bala","192.168.1.236","2022-12-07 16:26:08"
"645439","2022-12-20","FG For Invoicing",,,,"0.0000","29194058","U12223-15044","DC-U1D22-2306061","0","0","648",,,,,,"Saravanan&bala","192.168.1.236","2022-12-20 17:18:44"
"645440","2022-12-20","FG For Invoicing",,,,"0.0000","29194058","U12223-15044","DC-U1D22-2306061","648","0","0",,,,,,"Saravanan&bala","192.168.1.236","2022-12-20 17:18:44"
"647876","2022-12-24","FG For Invoicing",,,,"0.0000","29374521","U12223-15306","DC-U1D22-2305238","0","0","200",,,,,,"Saravanan&bala","192.168.1.236","2022-12-24 16:34:19"
"647877","2022-12-24","FG For Invoicing",,,,"0.0000","29374521","U12223-15306","DC-U1D22-2305238","200","0","0",,,,,,"Saravanan&bala","192.168.1.236","2022-12-24 16:34:19"
"646561","2022-12-22","FG For Invoicing",,,,"0.0000","29196102","U12223-15158","DC-U1D22-2308153","0","0","318",,,,,,"Saravanan&bala","192.168.1.236","2022-12-22 17:05:58"
"646562","2022-12-22","FG For Invoicing",,,,"0.0000","29196102","U12223-15158","DC-U1D22-2308153","318","0","0",,,,,,"Saravanan&bala","192.168.1.236","2022-12-22 17:05:58"
"646548","2022-12-22","FG For Invoicing",,,,"0.0000","29194394","U12223-15156","DC-U1D22-2307677","0","0","821",,,,,,"Saravanan&bala","192.168.1.236","2023-02-20 06:58:28"
"646549","2022-12-22","FG For Invoicing",,,,"0.0000","29194394","U12223-15156","DC-U1D22-2307677","821","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-20 06:58:28"
"651412","2022-12-30","FG For Invoicing",,,,"0.0000","29194058","U12223-15708","DC-U1D22-2306019","0","0","726",,,,,,"Saravanan&bala","192.168.1.236","2022-12-30 17:03:37"
"651413","2022-12-30","FG For Invoicing",,,,"0.0000","29194058","U12223-15708","DC-U1D22-2306019","726","0","0",,,,,,"Saravanan&bala","192.168.1.236","2022-12-30 17:03:37"
